name,calories,protein,fat,carbohydrate,goal
"Beverages, White Cranberry Strawberry Flavored Juice Drink, OCEAN SPRAY",49,0.22,0.01,11.98,Weight Loss
"Chicken, batter, fried, cooked, meat and skin, neck, broilers or fryers",330,19.82,23.52,8.7,Muscle Gain
"Beverages, decaffeinated, restaurant-prepared, espresso, brewed, coffee",9,0.1,0.18,1.69,Weight Loss
"SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato",157,10.84,3.15,21.35,Weight Loss
"Beans, rinsed in tap water, drained solids, canned, mature seeds, pinto",117,7.04,0.97,20.77,Weight Loss
"Balsam-pear (bitter gourd), without salt, drained, boiled, cooked, pods",19,0.84,0.18,4.32,Weight Loss
"Chicken, batter, fried, cooked, meat and skin, wing, broilers or fryers",324,19.87,21.81,10.94,Muscle Gain
"Pork, raw, separable lean only, country-style, center slice, ham, cured",195,27.8,8.32,0.3,Muscle Gain
"Soup, prepared with equal volume water, canned, tomato beef with noodle",56,1.78,1.71,8.44,Weight Loss
"Beef, braised, cooked, separable lean only, flat, imported, New Zealand",226,33.22,10.3,0.0,Muscle Gain
"Squash, with salt, or baked, drained, boiled, cooked, spaghetti, winter",27,0.66,0.26,6.46,Weight Loss
"Succotash, with salt, drained, boiled, cooked, frozen, (corn and limas)",93,4.31,0.89,19.95,Weight Loss
"Soup, ready-to-serve, canned, reduced sodium, new england, clam chowder",70,2.33,4.23,5.68,Weight Loss
"Soup, prepared with equal volume water, canned, manhattan, clam chowder",30,0.85,0.86,4.77,Weight Loss
"Cherries, solids and liquids, extra heavy syrup pack, canned, red, sour",114,0.71,0.09,29.23,Weight Loss
"KFC, meat and skin with breading, Thigh, ORIGINAL RECIPE, Fried Chicken",269,18.9,17.73,8.46,Muscle Gain
"Rice and vermicelli mix, prepared with 80% margarine, rice pilaf flavor",148,2.94,3.7,25.67,Weight Loss
"Beef, raw, select, trimmed to 0"" fat, separable lean only, steak, flank",137,21.43,5.0,0.0,Muscle Gain
"Chicken, roasted, cooked, meat and skin, light meat, broilers or fryers",222,29.02,10.85,0.0,Muscle Gain
"Veal, braised, cooked, separable lean and fat, boneless, whole, breast",266,26.97,16.77,0.0,Muscle Gain
"Formulated bar, SNICKERS MARATHON Honey Nut Oat Bar, MARS SNACKFOOD US",378,22.5,7.87,54.3,Muscle Gain
"Mung beans, with salt, drained, boiled, cooked, sprouted, mature seeds",19,2.03,0.09,3.6,Weight Loss
"Chicken, batter, fried, cooked, meat and skin, leg, broilers or fryers",273,21.77,16.17,8.72,Muscle Gain
"Soup, single brand, condensed, canned, beef with vegetables and barley",61,3.9,1.4,8.2,Weight Loss
"Chicken, flour, fried, cooked, meat and skin, back, broilers or fryers",331,27.79,20.74,6.5,Muscle Gain
"Beans, with salt, boiled, cooked, mature seeds, california red, kidney",124,9.13,0.09,22.41,Weight Loss
"Fish, dry heat (may have been previously frozen), cooked, Pacific, cod",85,18.73,0.5,0.0,Muscle Gain
"Chicken, roasted, cooked, meat and skin and giblets and neck, roasting",220,23.96,13.07,0.05,Muscle Gain
"Beef, raw, 85% lean / 15% fat, ground, grass-fed, imported, Australian",234,17.72,18.12,0.0,Muscle Gain
"Beef, raw, separable lean and fat, oyster blade, imported, New Zealand",178,21.27,10.31,0.0,Muscle Gain
"Beverages, with added nutrients, Mixed vegetable and fruit juice drink",29,0.04,0.01,7.47,Weight Loss
"Beef, raw, liver, variety meats and by-products, imported, New Zealand",133,20.5,4.05,3.6,Muscle Gain
"CAMPBELL'S Red and White, condensed, Split Pea with Ham and Bacon Soup",141,7.81,1.56,23.44,Weight Loss
"Soup, prepared with equal volume water, consomme, bouillon, beef broth",12,2.22,0.0,0.73,Weight Loss
"Beverages, prepared with whole milk, powder, natural, Malted drink mix",88,3.86,3.62,10.23,Weight Loss
"Lamb, raw, separable lean only, boneless, chump, imported, New Zealand",121,21.68,3.83,0.0,Muscle Gain
"Fast Foods, skin and breading removed, meat only, Thigh, Fried Chicken",178,23.21,9.41,0.24,Muscle Gain
"Chicken, raw, with added solution, meat and skin, drumstick, dark meat",146,18.03,8.24,0.0,Muscle Gain
"Turkey, raw, with added solution, meat and skin, from whole bird, back",206,16.86,15.41,0.15,Muscle Gain
"KFC, meat and skin with breading, Wing, ORIGINAL RECIPE, Fried Chicken",297,21.7,18.9,9.93,Muscle Gain
"Turkey, roasted, with added solution, meat only, from whole bird, back",127,26.97,2.08,0.0,Muscle Gain
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, pepperoni topping",279,13.92,11.71,29.46,Maintain
"Tomato products, and celery, green peppers, with onions, sauce, canned",41,0.94,0.74,8.77,Weight Loss
"Chicken, roasted, cooked, meat and skin, drumstick, broilers or fryers",191,23.35,10.15,0.0,Muscle Gain
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",120,22.5,2.62,0.0,Muscle Gain
"Turkey from whole, raw, with added solution, meat and skin, light meat",147,20.02,7.42,0.14,Muscle Gain
"Pork, roasted, cooked, separable lean and fat, whole, leg (ham), fresh",273,26.83,17.61,0.0,Muscle Gain
"Fast Foods, with lettuce and mayonnaise, crispy chicken filet sandwich",276,10.94,13.59,27.4,Maintain
"Chicken, flour, fried, cooked, meat and skin, neck, broilers or fryers",332,24.01,23.61,4.24,Muscle Gain
"Pork, roasted, cooked, separable lean and fat, tenderloin, loin, fresh",147,26.04,3.96,0.0,Muscle Gain
"Pork, broiled, cooked, separable lean and fat, tenderloin, loin, fresh",201,29.86,8.11,0.0,Muscle Gain
"Soup, ready-to-serve, chunky, chicken vegetable with potato and cheese",65,1.16,4.46,5.2,Weight Loss
"Child formula, prepared from powder, with iron, PORTAGEN, MEAD JOHNSON",88,3.33,4.48,8.57,Weight Loss
"Chicken, flour, fried, cooked, meat and skin, wing, broilers or fryers",321,26.11,22.16,2.39,Muscle Gain
"Infant Formula, ready-to-feed, Newborn, Premium, ENFAMIL, MEAD JOHNSON",66,1.38,3.48,7.39,Weight Loss
"Pork, roasted, heated, separable lean only, bone-in, shank, ham, cured",139,26.49,3.68,0.68,Muscle Gain
"Veal, breaded, pan-fried, cooked, separable lean only, leg (top round)",216,28.41,6.27,9.84,Muscle Gain
"Beverages, prepared with whole milk, powder, Carob-flavor beverage mix",75,3.16,3.11,8.68,Weight Loss
"Beef, raw, heart, variety meats and by-products, imported, New Zealand",105,18.52,3.4,0.0,Muscle Gain
"Soup, prepared with equal volume water, canned, bean with frankfurters",75,3.99,2.79,8.8,Weight Loss
"Cereals, maple and brown sugar, Weight Control Instant Oatmeal, QUAKER",361,16.37,6.2,64.25,Muscle Gain
"Veal, cooked, separable lean and fat, composite of trimmed retail cuts",231,30.1,11.39,0.0,Muscle Gain
"Chicken, stewed, cooked, meat and skin, light meat, broilers or fryers",201,26.14,9.97,0.0,Muscle Gain
"Chicken, roasted, cooked, meat and skin, dark meat, broilers or fryers",253,25.97,15.78,0.0,Muscle Gain
"Turkey, roasted, with added solution, meat only, from whole bird, wing",127,26.97,2.08,0.0,Muscle Gain
"Applesauce, without salt (includes USDA commodity), sweetened, canned",68,0.16,0.17,17.49,Weight Loss
"Infant Formula, ready-to-feed, Infant, Premium, ENFAMIL, MEAD JOHNSON",66,1.38,3.48,7.39,Weight Loss
"Beverages, diet, lemon, ready to drink, black and green, tea, SNAPPLE",2,0.1,0.0,0.1,Weight Loss
"Beverages, diet, peach, ready to drink, black and green, tea, SNAPPLE",2,0.1,0.0,0.1,Weight Loss
"Lima beans, solids and liquids, no salt added, canned, immature seeds",71,4.07,0.29,13.33,Weight Loss
"Chicken, flour, fried, cooked, meat and skin, leg, broilers or fryers",254,26.84,14.43,2.5,Muscle Gain
"Chicken, stewed, cooked, meat and skin, drumstick, broilers or fryers",204,25.32,10.64,0.0,Muscle Gain
"Beef, braised, cooked, choice, separable lean and fat, chuck for stew",194,32.49,7.14,0.0,Muscle Gain
"Beef, braised, cooked, select, separable lean and fat, chuck for stew",186,32.29,6.34,0.0,Muscle Gain
"Pork, roasted, cooked, separable lean and fat, whole, shoulder, fresh",292,23.28,21.39,0.0,Muscle Gain
"Swamp cabbage (skunk  cabbage), without salt, drained, boiled, cooked",20,2.08,0.24,3.7,Weight Loss
"Soup, single brand, condensed, canned, chicken with star-shaped pasta",50,2.3,1.4,7.1,Weight Loss
"Pork, simmered, cooked, stomach, variety meats and by-products, fresh",157,21.4,7.26,0.09,Muscle Gain
"Apple juice, with added ascorbic acid, unsweetened, canned or bottled",46,0.1,0.13,11.3,Weight Loss
"Turnip greens and turnips, with salt, drained, boiled, cooked, frozen",34,2.99,0.38,4.74,Weight Loss
"Peppers, without salt, drained, boiled, chopped, frozen, green, sweet",18,0.95,0.18,3.9,Weight Loss
"Beef, raw, separable lean and fat, rump centre, imported, New Zealand",145,21.65,6.5,0.0,Muscle Gain
"Beef, raw, separable lean and fat, bolar blade, imported, New Zealand",159,21.29,8.22,0.0,Muscle Gain
"Pork, unheated, canned, extra lean (approximately 4% fat), ham, cured",120,18.49,4.56,0.0,Muscle Gain
"Pork, braised, cooked, pancreas, variety meats and by-products, fresh",219,28.5,10.8,0.0,Muscle Gain
"Beef, raw, separable lean only, chuck eye roll, imported, New Zealand",131,20.46,5.41,0.0,Muscle Gain
"Grape juice, with added ascorbic acid, unsweetened, canned or bottled",60,0.37,0.13,14.77,Weight Loss
"Infant formula, prepared from powder,NEXT STEP PROSOBEE, MEAD JOHNSON",67,2.14,2.91,8.08,Weight Loss
"Mustard spinach, without salt, drained, boiled, cooked, (tendergreen)",16,1.7,0.2,2.8,Weight Loss
"CAMPBELL'S CHUNKY Soups, Salisbury Steak with Mushrooms & Onions Soup",57,2.86,1.84,7.76,Weight Loss
"Lamb, raw, separable lean only, boneless, flap, imported, New Zealand",180,21.72,10.31,0.0,Muscle Gain
"Fast Foods, skin and breading removed, meat only, Wing, Fried Chicken",215,28.77,10.2,2.13,Muscle Gain
"Lamb, raw, separable lean and fat, loin saddle, imported, New Zealand",273,16.56,22.9,0.2,Muscle Gain
"Game meat, broiled, cooked, 1"" steak, separable lean only, loin, deer",150,30.2,2.38,0.0,Muscle Gain
"Cherries, solids and liquids, heavy syrup pack, pitted, canned, sweet",83,0.6,0.15,21.27,Weight Loss
"Cereals, with salt, cooked with water, whole wheat hot natural cereal",62,2.0,0.4,13.7,Weight Loss
"KFC, meat and skin with breading, Breast, EXTRA CRISPY, Fried Chicken",268,21.24,16.55,8.47,Muscle Gain
"Lamb, raw, separable lean only, boneless, loin, imported, New Zealand",120,21.5,3.77,0.0,Muscle Gain
"Turkey, raw, with added solution, meat and skin, breast, retail parts",144,20.79,6.75,0.03,Muscle Gain
"Turkey, raw, with added solution, meat and skin, dark meat from whole",169,17.84,10.83,0.15,Muscle Gain
"Game meat, raw, trimmed to 0"" fat, separable lean only, ribeye, bison",116,22.1,2.4,0.0,Muscle Gain
"Chicken, stewed, cooked, and giblets and neck, meat and skin, stewing",214,24.88,11.91,0.0,Muscle Gain
"Fish, solids with bone and liquid, without salt, canned, pink, salmon",139,19.78,6.05,0.0,Muscle Gain
"Fish, drained solids with bone, without salt, canned, sockeye, salmon",153,20.47,7.31,0.0,Muscle Gain
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,148,22.7,1.0,11.7,Muscle Gain
"PREGO Pasta, ready-to-serve, Italian Sausage and Garlic Italian Sauce",72,2.4,2.4,10.4,Weight Loss
"Cereals, salt, prepared with water, QUAKER MultiGrain Oatmeal, QUAKER",61,2.07,0.47,13.47,Weight Loss
"Beverages, prepared with water, frozen concentrate, Fruit punch drink",46,0.06,0.0,11.66,Weight Loss
"Cereals ready-to-eat, KRETSCHMER Honey Crunch Wheat Germ, SUN COUNTRY",372,26.55,7.78,58.11,Muscle Gain
"Pork, roasted, heated, separable lean only, bone-in, rump, ham, cured",132,26.02,3.07,0.68,Muscle Gain
"Hyacinth-beans, without salt, drained, boiled, cooked, immature seeds",50,2.95,0.27,9.2,Weight Loss
"Babyfood, strained, without ascorbic acid, prunes with tapioca, fruit",69,0.6,0.1,18.5,Weight Loss
"Cowpeas, without salt, drained, boiled, cooked, young pods with seeds",34,2.6,0.3,7.0,Weight Loss
"CAMPBELL'S CHUNKY Soups, Grilled Chicken with Vegetables & Pasta Soup",41,2.45,1.02,5.71,Weight Loss
"Beverages, decaffeinated, prepared with tap water, brewed, black, tea",1,0.0,0.0,0.3,Weight Loss
"SUPPER BAKES MEAL KITS, Herb Chicken with rice (chicken not included)",197,4.26,1.06,42.55,Weight Loss
"Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers",233,23.5,14.66,0.0,Muscle Gain
"Apricots, solids and liquids, without skin, heavy syrup pack, canned",83,0.51,0.09,21.45,Weight Loss
"Veal, braised, cooked, separable lean and fat, shank (fore and hind)",191,31.54,6.2,0.0,Muscle Gain
"Balsam-pear (bitter gourd), with salt, drained, boiled, cooked, pods",19,0.84,0.18,4.32,Weight Loss
"Lamb, raw, separable lean and fat, fore-shank, imported, New Zealand",183,20.09,11.38,0.09,Muscle Gain
"Beef, pan-browned, cooked, crumbles, 90% lean meat / 10% fat, ground",230,28.45,12.04,0.0,Muscle Gain
"CAMPBELL'S HEALTHY REQUEST, condensed, Homestyle Chicken Noodle Soup",51,2.7,1.0,7.8,Weight Loss
"Lima beans, solids and liquids, regular pack, canned, immature seeds",71,4.07,0.29,13.33,Weight Loss
"Lamb, raw, separable lean and fat, tenderloin, imported, New Zealand",120,20.43,4.22,0.01,Muscle Gain
"Grapes, raw, red or green (European type, such as Thompson seedless)",69,0.72,0.16,18.1,Weight Loss
"Chicken, roasted, cooked, meat and skin and giblets and neck, capons",226,28.35,11.67,0.04,Muscle Gain
"Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured",136,21.16,4.88,0.52,Muscle Gain
"Pork, roasted, regular (approximately 11% fat), boneless, ham, cured",178,22.62,9.02,0.0,Muscle Gain
"Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground",270,25.56,17.86,0.0,Muscle Gain
"Beef, pan-browned, cooked, crumbles, 75% lean meat / 25% fat, ground",277,26.28,18.21,0.0,Muscle Gain
"CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",78,2.04,3.67,9.39,Weight Loss
"Lamb, raw, separable lean and fat, neck chops, imported, New Zealand",231,17.43,17.9,0.14,Muscle Gain
"POPEYES, meat and skin with breading, Drumstick, Mild, Fried Chicken",293,20.44,19.14,9.84,Muscle Gain
"Gourd, with salt, drained, boiled, cooked, white-flowered (calabash)",13,0.6,0.02,3.1,Weight Loss
"Lamb, raw, separable lean and fat, hind-shank, imported, New Zealand",186,18.39,12.12,0.73,Muscle Gain
"Beans, without salt, boiled, cooked, mature seeds, royal red, kidney",123,9.49,0.17,21.85,Weight Loss
"Peppers, solids and liquids, excluding seeds, canned, red, hot chili",21,0.9,0.1,5.1,Weight Loss
"Orange juice, with added calcium, includes from concentrate, chilled",47,0.68,0.12,11.27,Weight Loss
"Chicken, raw, meat and skin and giblets and neck, broilers or fryers",213,18.33,14.83,0.13,Muscle Gain
"Turkey, raw, with added solution, meat only, from whole bird, breast",102,21.54,1.66,0.14,Muscle Gain
"Soup, single brand, ready-to-serve, chunky, chicken mushroom chowder",80,3.0,4.4,7.1,Weight Loss
"Alcoholic beverage, Gewurztraminer, late harvest, white, table, wine",108,0.07,0.0,11.39,Weight Loss
"KFC, meat and skin with breading, Thigh, EXTRA CRISPY, Fried Chicken",309,17.17,22.14,10.3,Muscle Gain
"Restaurant, Arroz con frijoles negros (rice and black beans), Latino",151,4.64,3.85,24.4,Weight Loss
"Beef, pan-browned, cooked, crumbles, 85% lean meat / 15% fat, ground",256,27.73,15.3,0.0,Muscle Gain
"Beef, pan-browned, cooked, crumbles, 80% lean meat / 20% fat, ground",272,27.0,17.36,0.0,Muscle Gain
"Beverages, Light Cranberry and Raspberry Flavored Juice, OCEAN SPRAY",26,0.73,0.0,5.77,Weight Loss
"PREGO Pasta, ready-to-serve, Chunky Garden Combination Italian Sauce",54,1.54,1.15,10.0,Weight Loss
"Chicken, heated (microwave), barbecue flavored, glazed, frozen, wing",248,25.34,13.9,3.84,Muscle Gain
"Infant formula, ready-to-feed, with iron, GOOD START SUPREME, NESTLE",66,1.45,3.37,7.39,Weight Loss
"Artichokes, without salt, drained, boiled, cooked, (globe or french)",53,2.89,0.34,11.95,Weight Loss
"Milk, with added vitamin A and vitamin D, nonfat, evaporated, canned",78,7.55,0.2,11.35,Weight Loss
"Squash, without salt, drained, boiled, cooked, all varieties, summer",20,0.91,0.31,4.31,Weight Loss
"Beef, raw, separable lean and fat, tenderloin, imported, New Zealand",146,21.04,6.88,0.0,Muscle Gain
"MORNINGSTAR FARMS Meal Starters Veggie Meatballs, unprepared, frozen",158,17.7,5.8,9.9,Muscle Gain
"MORNINGSTAR FARMS Grillers Chik'n Veggie Patties, unprepared, frozen",118,12.8,4.8,10.2,Weight Loss
"Gourd, without salt, drained, boiled, cooked, dishcloth (towelgourd)",56,0.66,0.34,14.34,Weight Loss
"Babyfood, strained, without ascorbic acid, plums with tapioca, fruit",71,0.1,0.0,19.7,Weight Loss
"Spinach, with salt, drained, boiled, cooked, chopped or leaf, frozen",34,4.01,0.87,4.8,Weight Loss
"Pork, braised, cooked, kidneys, variety meats and by-products, fresh",151,25.4,4.7,0.0,Muscle Gain
"Soup, prepared with equal volume water, canned, vegetarian vegetable",28,0.86,0.79,4.89,Weight Loss
"Beans, without salt, boiled, cooked, mature seeds, cranberry (roman)",136,9.34,0.46,24.46,Weight Loss
"Beans, without salt, boiled, cooked, mature seeds, all types, kidney",127,8.67,0.5,22.8,Weight Loss
"Fast foods, and condiments, cheese, egg, with breakfast steak, bagel",282,15.95,14.07,22.99,Muscle Gain
"Rice and vermicelli mix, prepared with 80% margarine, chicken flavor",136,2.65,3.45,23.54,Weight Loss
"Veal, braised, cooked, separable lean only, boneless, whole, breast",218,30.32,9.8,0.0,Muscle Gain
"Turkey, bone removed, with skin, cooked, smoked, light or dark meat",208,28.1,9.7,0.0,Muscle Gain
"Soup, single brand, condensed, canned, split pea with ham and bacon",140,8.6,2.3,21.2,Weight Loss
"Beef, pan-browned, cooked, crumbles, 95% lean meat / 5% fat, ground",193,29.17,7.58,0.0,Muscle Gain
"Pork, roasted, cooked, separable lean only, whole, leg (ham), fresh",211,29.41,9.44,0.0,Muscle Gain
CAMPBELL'S Homestyle HEALTHY REQUEST Mexican Style Chicken Tortilla,53,2.86,1.02,7.76,Weight Loss
"Infant formula, ready-to-feed, with iron, SIMILAC, ABBOTT NUTRITION",65,1.36,3.55,6.92,Weight Loss
"SUBWAY, black forest ham sub on white bread with lettuce and tomato",151,9.12,2.53,22.91,Weight Loss
"PREGO Pasta, ready-to-serve, Organic Tomato and Basil Italian Sauce",72,1.6,2.4,10.4,Weight Loss
"P REGO Pasta, ready-to-serve, Roasted Garlic and Herb Italian Sauce",69,1.54,2.31,10.0,Weight Loss
"PREGO Pasta, ready-to-serve, Basil and Garlic Italian Sauce, Tomato",64,1.6,2.0,9.6,Weight Loss
"Ice creams, All Natural Light Vanilla Chocolate Strawberry, BREYERS",161,4.69,4.35,26.06,Weight Loss
"Peas, without salt, drained, boiled, cooked, sprouted, mature seeds",98,7.05,0.51,17.08,Weight Loss
"Milk, with added vitamin A and vitamin D, 1% milkfat, fluid, lowfat",42,3.37,0.97,4.99,Weight Loss
"Beef, pan-browned, cooked, crumbles, 97% lean meat / 3% fat, ground",175,29.46,5.46,0.0,Muscle Gain
"Pork, unheated, separable lean and fat, blade roll, shoulder, cured",269,16.47,21.98,0.0,Muscle Gain
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Noodle Soup",30,1.63,0.82,4.08,Weight Loss
"Beef, raw, separable lean and fat, striploin, imported, New Zealand",252,18.49,19.53,0.6,Muscle Gain
"Beef, raw, separable lean and fat, hind shin, imported, New Zealand",147,20.61,7.2,0.0,Muscle Gain
"Soup, ready-to-serve, chunky, canned, manhattan style, clam chowder",56,3.02,1.41,7.84,Weight Loss
"Pork, raw, separable lean and fat, boneless, Shoulder petite tender",128,21.65,3.91,0.0,Muscle Gain
"Soup, prepared with equal volume water, canned, split with ham, pea",75,4.08,1.74,11.05,Weight Loss
"Beef, raw, separable lean only, oyster blade, imported, New Zealand",155,21.83,7.56,0.0,Muscle Gain
"Cereals, without salt, prepared with water, instant, CREAM OF WHEAT",62,1.84,0.24,13.08,Weight Loss
"Fast Food, regular crust, pepperoni topping, 14"" pizza, Pizza Chain",282,11.74,11.91,31.98,Maintain
"CAMPBELL'S CHUNKY Soups, Savory Chicken with White & Wild Rice Soup",45,2.86,0.82,7.35,Weight Loss
"Veal, cooked, separable lean only, composite of trimmed retail cuts",196,31.9,6.58,0.0,Muscle Gain
"DIGIORNO Pizza, baked, frozen, thin crispy crust, pepperoni topping",283,13.22,12.86,28.67,Maintain
"Soymilk (All flavors), vitamins A and D, with added calcium, lowfat",43,1.65,0.62,7.2,Weight Loss
"Cherries, solids and liquids, extra heavy syrup pack, canned, sweet",102,0.59,0.15,26.23,Weight Loss
"Beverages, high vitamin C, greater than 3% juice, fruit juice drink",46,0.13,0.11,11.35,Weight Loss
"Milk, with added calcium, reduced fat, commercial, fluid, chocolate",78,2.99,1.9,12.13,Weight Loss
"Turkey, raw, with added solution, meat only, from whole bird, thigh",115,19.27,4.12,0.15,Muscle Gain
"Cereals, dry, Maple Brown Sugar Crunch, KELLOGG'S SPECIAL K NOURISH",371,15.39,9.89,62.09,Muscle Gain
"Chicken, roasted, cooked, meat and skin, breast, broilers or fryers",197,29.8,7.78,0.0,Muscle Gain
"Broadbeans (fava beans), without salt, boiled, cooked, mature seeds",110,7.6,0.4,19.65,Weight Loss
"Pork, roasted, cooked, separable lean only, tenderloin, loin, fresh",143,26.17,3.51,0.0,Muscle Gain
"KFC, meat and skin with breading, Wing, EXTRA CRISPY, Fried Chicken",337,20.8,23.0,11.66,Muscle Gain
"Lamb, raw, separable lean and fat, loin chop, imported, New Zealand",298,15.4,26.19,0.22,Muscle Gain
"Chicken, roasted, cooked, meat only, light meat, broilers or fryers",173,30.91,4.51,0.0,Muscle Gain
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,222,19.6,10.6,11.8,Muscle Gain
"Beverages, sweetened, ginseng and honey, ready to drink, green, tea",30,0.0,0.18,7.16,Weight Loss
"CAMPBELL'S Red and White - Microwaveable Bowls, Vegetable Beef Soup",34,2.04,0.2,6.12,Weight Loss
"Luncheon meat, includes SPAM Lite, canned, minced, pork and chicken",196,15.23,13.9,1.35,Muscle Gain
"Game meat, roasted, cooked, composite of cuts, domesticated, rabbit",197,29.06,8.05,0.0,Muscle Gain
"MORNINGSTAR FARMS Sausage Style Recipe Crumbles, unprepared, frozen",159,20.2,4.6,9.9,Muscle Gain
"KASHI Pizza, unprepared, frozen, single serve, Mushroom and Spinach",229,10.7,6.0,36.5,Maintain
"Pork, broiled, cooked, separable lean only, tenderloin, loin, fresh",187,30.42,6.33,0.0,Muscle Gain
"Puddings, prepared with whole milk, regular, dry mix, coconut cream",114,3.0,3.8,17.7,Weight Loss
"Puddings, prepared with whole milk, instant, dry mix, coconut cream",117,2.9,3.5,19.1,Weight Loss
"Peppers, without salt, drained, boiled, chopped, frozen, red, sweet",16,0.95,0.18,3.31,Weight Loss
"Soymilk, vitamins A and D, with added calcium, original and vanilla",43,2.6,1.47,4.92,Weight Loss
"Beverages, ready-to-drink, lemon-lime flavored, POWERADE, COCA-COLA",32,0.0,0.05,7.84,Weight Loss
"Winged beans, without salt, drained, boiled, cooked, immature seeds",38,5.31,0.66,3.21,Weight Loss
"Beef, pan-browned, cooked, crumbles, 93% lean meat / 7% fat, ground",209,28.88,9.51,0.0,Muscle Gain
"Grapefruit juice, undiluted, unsweetened, frozen concentrate, white",146,1.97,0.48,34.56,Weight Loss
"Infant formula, ready-to-feed, NUTRAMIGEN AA, ENFAMIL, MEAD JOHNSON",66,1.84,3.48,6.76,Weight Loss
"Beef, raw, separable lean and fat, eye round, imported, New Zealand",129,19.88,4.92,1.32,Muscle Gain
"Beef, raw, separable lean and fat, cube roll, imported, New Zealand",225,18.22,16.31,1.31,Muscle Gain
"Pork, braised, cooked, tongue, variety meats and by-products, fresh",271,24.1,18.6,0.0,Muscle Gain
"Babyfood, junior, without ascorbic acid, prunes with tapioca, fruit",70,0.6,0.1,18.7,Weight Loss
"Veal, grilled, cooked, separable lean and fat, blade chop, shoulder",199,25.72,10.57,0.15,Muscle Gain
"Veal, braised, cooked, separable lean and fat, osso buco, foreshank",182,27.94,7.77,0.11,Muscle Gain
"CAMPBELL'S Red and White, condensed, Old Fashioned Tomato Rice Soup",87,0.79,1.59,18.25,Weight Loss
"Veal, raw, separable lean and fat, composite of trimmed retail cuts",144,19.35,6.77,0.0,Muscle Gain
"Cream substitute, with lauric acid oil and sodium caseinate, liquid",136,1.0,9.97,11.38,Weight Loss
"Cheese food, without added vitamin D, American, pasteurized process",330,16.86,25.63,8.56,Muscle Gain
"Veal, raw, separable lean and fat, bone-in, fore, shank, Australian",145,19.58,7.42,0.0,Muscle Gain
"Soymilk (all flavors), vitamins A and D, with added calcium, nonfat",28,2.47,0.04,4.14,Weight Loss
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, cheese topping",279,13.48,11.68,29.86,Maintain
"Corn, rinsed with tap water, drained solids, canned, yellow, sweet",74,2.18,1.43,13.02,Weight Loss
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",34,2.6,0.3,7.0,Weight Loss
"Fish, without skin and bones, drained solids, canned, pink, Salmon",136,24.62,4.21,0.0,Muscle Gain
"Turkey, raw, with added solution, meat only, from whole bird, back",115,19.27,4.12,0.15,Muscle Gain
"Pork, roasted, cooked, separable lean only, whole, shoulder, fresh",230,25.33,13.54,0.0,Muscle Gain
"Beans, without salt, drained, boiled, cooked, frozen, yellow, snap",28,1.49,0.17,6.45,Weight Loss
"Beverages, fortified, prepared with 1% milk, chocolate malt powder",57,3.32,0.97,8.81,Weight Loss
"Potatoes, without salt, flesh and skin, cooked in skin, microwaved",105,2.44,0.1,24.24,Weight Loss
"Chicken, roasted, cooked, meat and skin, thigh, broilers or fryers",232,23.26,14.71,0.0,Muscle Gain
"Pigeon peas (red gram), without salt, boiled, cooked, mature seeds",121,6.76,0.38,23.25,Weight Loss
"Refried beans, traditional style (includes USDA commodity), canned",90,4.98,2.01,13.55,Weight Loss
"Pork, braised, cooked, brain, variety meats and by-products, fresh",138,12.14,9.51,0.0,Weight Loss
"Pork, simmered, cooked, tail, variety meats and by-products, fresh",396,17.0,35.8,0.0,Muscle Gain
"Pork, simmered, cooked, feet, variety meats and by-products, fresh",238,21.94,16.05,0.0,Muscle Gain
"Pork, roasted, separable lean and fat, blade roll, shoulder, cured",287,17.28,23.48,0.37,Muscle Gain
"Soup, commercial, prepared with equal volume water, canned, tomato",32,0.71,0.21,7.45,Weight Loss
"Beef, raw, separable lean only, rump centre, imported, New Zealand",141,21.74,6.05,0.0,Muscle Gain
"Pork, raw, separable lean and fat, boneless, Leg sirloin tip roast",113,22.88,1.71,0.0,Muscle Gain
"MORNINGSTAR FARMS Chipotle Black Bean Crumbles, unprepared, frozen",122,14.4,4.1,10.2,Weight Loss
"Pork, braised, cooked, liver, variety meats and by-products, fresh",165,26.02,4.4,3.76,Muscle Gain
"Pork, braised, cooked, lungs, variety meats and by-products, fresh",99,16.6,3.1,0.0,Muscle Gain
"CAMPBELL'S CHUNKY Soups, Beef Rib Roast with Potatoes & Herbs Soup",44,2.86,0.41,6.94,Weight Loss
"Turkey roast, raw, light and dark meat, seasoned, frozen, boneless",120,17.6,2.2,6.4,Muscle Gain
